Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","102","Iran (Islamic Republic of)","5910","Export Quantity","15","Wheat","2009","2009","tonnes","231483","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","102","Iran (Islamic Republic of)","5910","Export Quantity","15","Wheat","2012","2012","tonnes","323250","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1986","1986","tonnes","3224344","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1987","1987","tonnes","2998948","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1988","1988","tonnes","2920840","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1989","1989","tonnes","2736086","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1990","1990","tonnes","2837416","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1991","1991","tonnes","3181691","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1992","1992","tonnes","3545241","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1993","1993","tonnes","3247411","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1994","1994","tonnes","3268325","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1995","1995","tonnes","2885820","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1996","1996","tonnes","3008947","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1997","1997","tonnes","3396134","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1998","1998","tonnes","3125085","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","1999","1999","tonnes","3207677","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2000","2000","tonnes","3164623","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2001","2001","tonnes","3026922","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2002","2002","tonnes","3100337","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2003","2003","tonnes","2975375","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2004","2004","tonnes","3119609","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2005","2005","tonnes","2977354","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2006","2006","tonnes","2996762","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2007","2007","tonnes","3277964","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2008","2008","tonnes","3676021","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2009","2009","tonnes","3036042","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2010","2010","tonnes","3169761","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2011","2011","tonnes","3685538","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2012","2012","tonnes","3374828","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2013","2013","tonnes","3124731","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2014","2014","tonnes","2976138","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2015","2015","tonnes","2767453","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2016","2016","tonnes","2725452","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2017","2017","tonnes","3049374","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2018","2018","tonnes","2866098","","Official data"
"TM","Detailed trade matrix","231","United States of America","110","Japan","5910","Export Quantity","15","Wheat","2019","2019","tonnes","2581461","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1987","1987","tonnes","112659","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1988","1988","tonnes","844925","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1989","1989","tonnes","415088","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1990","1990","tonnes","359021","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1991","1991","tonnes","314656","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1992","1992","tonnes","409448","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1993","1993","tonnes","974716","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1994","1994","tonnes","626093","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1995","1995","tonnes","810860","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1996","1996","tonnes","1559704","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1997","1997","tonnes","1067057","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1998","1998","tonnes","1595805","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","1999","1999","tonnes","1855845","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2000","2000","tonnes","1901658","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2001","2001","tonnes","2217467","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2002","2002","tonnes","2484197","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2003","2003","tonnes","2653651","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2004","2004","tonnes","2863039","*","Unofficial figure"
